Designator Comment                                                       Layer       Footprint                    Center-X(mil) Center-Y(mil) Rotation Description                                                                                                                                              
VD8_A3     ""                                                            TopLayer    LED_3535                     -1755.906     1381.890      0        "Top SMD Type 0.2Watt Power tegrated light source Intelligent control LED 3.5x3.7x0.95mm"                                                                
VD7_A11    ""                                                            TopLayer    LED_3535                     -496.063      3397.638      0        "Top SMD Type 0.2Watt Power tegrated light source Intelligent control LED 3.5x3.7x0.95mm"                                                                
VD7_A10    ""                                                            TopLayer    LED_3535                     -496.063      3145.669      0        "Top SMD Type 0.2Watt Power tegrated light source Intelligent control LED 3.5x3.7x0.95mm"                                                                
VD7_A9     ""                                                            TopLayer    LED_3535                     -496.063      2893.701      0        "Top SMD Type 0.2Watt Power tegrated light source Intelligent control LED 3.5x3.7x0.95mm"                                                                
VD7_A8     ""                                                            TopLayer    LED_3535                     -496.063      2641.732      0        "Top SMD Type 0.2Watt Power tegrated light source Intelligent control LED 3.5x3.7x0.95mm"                                                                
VD7_A7     ""                                                            TopLayer    LED_3535                     -496.063      2389.764      0        "Top SMD Type 0.2Watt Power tegrated light source Intelligent control LED 3.5x3.7x0.95mm"                                                                
VD7_A6     ""                                                            TopLayer    LED_3535                     -496.063      2137.795      0        "Top SMD Type 0.2Watt Power tegrated light source Intelligent control LED 3.5x3.7x0.95mm"                                                                
VD7_A5     ""                                                            TopLayer    LED_3535                     -496.063      1885.827      0        "Top SMD Type 0.2Watt Power tegrated light source Intelligent control LED 3.5x3.7x0.95mm"                                                                
VD7_A4     ""                                                            TopLayer    LED_3535                     -496.063      1633.858      0        "Top SMD Type 0.2Watt Power tegrated light source Intelligent control LED 3.5x3.7x0.95mm"                                                                
VD7_A3     ""                                                            TopLayer    LED_3535                     -496.063      1381.890      0        "Top SMD Type 0.2Watt Power tegrated light source Intelligent control LED 3.5x3.7x0.95mm"                                                                
VD6_A11    ""                                                            TopLayer    LED_3535                     -2007.874     3397.638      0        "Top SMD Type 0.2Watt Power tegrated light source Intelligent control LED 3.5x3.7x0.95mm"                                                                
VD6_A10    ""                                                            TopLayer    LED_3535                     -2007.874     3145.669      0        "Top SMD Type 0.2Watt Power tegrated light source Intelligent control LED 3.5x3.7x0.95mm"                                                                
